                spot_name                |              domain              | domain_count
 Hard Rock Cafe                          | hardrockcafe.com                 |            2
 Chaophraya                              | chaophraya.co.uk                 |            7
 Cake Box                                | eggfreecake.co.uk                |            3
 Wingmans                                | wingmans.co.uk                   |            2
 Coppa Club                              | coppaclub.co.uk                  |            4
 Boom Bap Burger                         | boombapburger.com                |            2
 Fazenda                                 | fazenda.co.uk                    |            3
 Indian Accent                           | indianaccent.com                 |            3
 SUSHISAMBA                              | sushisamba.com                   |            4
 Le Relais de Venise l'Entrecôte         | relaisdevenise.com               |            2
 Bun House                               | bun.house                        |            2
 Foot Locker                             | stores.footlocker.dk             |            2
 BaoziInn                                | baoziinn.com                     |            3
 Poppies Fish & Chips                    | poppiesfishandchips.co.uk        |            2
 Allegra                                 | allegra-restaurant.com           |            2
 Giordano's                              | giordanos.com                    |            2
 Ippudo                                  | ippudo.co.uk                     |            4
 Rick Stein                              | rickstein.com                    |            2
 Taco Mamacita                           | tacomamacita.com                 |            2
 Manekineko                              | manekineko.com.br                |            5
 Five Guys                               | restaurants.fiveguys.co.uk       |            9
 The Spread Eagle                        | thespreadeaglelondon.co.uk       |            2
 Heartcore                               | heartcore.co.uk                  |            7
 Peggy Porschen                          | peggyporschen.com                |            2
 GAIL's                                  | gailsbread.co.uk                 |            5
 Wagamama                                | wagamama.com                     |            3
 Theo's                                  | theospizzeria.com                |            2
 Pancake Pantry                          | pancakepantry.com                |            2
 Cactus Jack's                           | cactusjacks.com.au               |            3
 Artist Residence                        | artistresidence.co.uk            |            2
 The Salty Donut                         | saltydonut.com                   |            3
 Pastaio                                 | pastaio.co.uk                    |            2
 Everyman                                | everymancinema.com               |            2
 Six by Nico                             | sixbynico.co.uk                  |            3
 Hotbox                                  | hotboxlondon.co.uk               |            2
 Zaza                                    | zaza.co.uk                       |            4
 O'Neill's                               | oneills.co.uk                    |            2
 Grabli                                  | grabli.ru                        |            2
 Kushi                                   | kushirestaurant.co.uk            |            2
 Gourmet Burger Kitchen                  | gbk.co.uk                        |            2
 Radio Alice Pizzeria                    | radioalicepizzeria.co.uk         |            3
 Haché Burgers Chelsea                   | hacheburgers.com                 |            2
 Milsoms                                 | milsomhotels.com                 |            2
 Topgolf                                 | topgolf.com                      |            2
 Nammos                                  | nammos.gr                        |            2
 Leon                                    | leon.co                          |            2
 Côte                                    | cote.co.uk                       |            2
 Slim Chickens                           | slimchickens.co.uk               |            2
 Sticks'n' Sushi Soho                    | sticksnsushi.com                 |            2
 Santa Maria                             | santamariapizzeria.com           |            3
 Côte Brasserie                          | cote.co.uk                       |            3
 Big Easy Bar.B.Q & Crabshack            | bigeasy.co.uk                    |            3
 Caffè Concerto                          | caffeconcerto.co.uk              |            3
 KFC                                     | kfc.co.uk                        |            3
 Tonkotsu                                | tonkotsu.co.uk                   |           10
 Yard Sale Pizza                         | yardsalepizza.com                |            5
 Pizza East                              | pizzaeast.com                    |            2
 The Ampersand Hotel                     | ampersandhotel.com               |            2
 Mandarin Oriental                       | mandarinoriental.com             |            3
 My Old Dutch                            | myolddutch.com                   |            2
 YO! Sushi                               | yosushi.com                      |            3
 Miscusi                                 | miscusi.com                      |            2
 Lantana                                 | lantanacafe.co.uk                |            2
 Sumosan Twiga                           | sumosantwiga.com                 |            2
 Carluccio's                             | carluccios.com                   |            2
 Itsu                                    | itsu.com                         |            4
 Origin Coffee Roasters                  | origincoffee.co.uk               |            2
 Kaffeine                                | kaffeine.co.uk                   |            2
 Zelman Meats                            | zelmanmeats.com                  |            2
 Le Pain Quotidien                       | lepainquotidien.com              |            6
 CVI.CHE 105                             | ceviche105.com                   |            3
 Harrods                                 | harrods.com                      |            2
 Maze Grill                              | gordonramsayrestaurants.com      |            2
 Ella Canta                              | ellacanta.com                    |            2
 French Connection                       | frenchconnection.com             |            6
 PizzaExpress                            | pizzaexpress.com                 |            3
 Chucs                                   | chucsrestaurants.com             |            2
 220GRAD                                 | 220grad.com                      |            2
 Purezza                                 | purezza.co.uk                    |            2
 Ayllu                                   | ayllu.co.uk                      |            2
 Carousel                                | carousel-london.com              |            2
 Pieminister                             | pieminister.co.uk                |            3
 Homeslice                               | homeslicepizza.co.uk             |            6
 Gin & Juice                             | ginandjuice.com                  |            2
 Sticks'n'Sushi Covent Garden            | sticksnsushi.com                 |            2
 Street Pizza Gordon Ramsay              | gordonramsayrestaurants.com      |            2
 Cambridge Wine Merchants                | cambridgewine.com                |            2
 Frankies Pizza                          | frankiespizza.dk                 |            7
 Hakkasan                                | hakkasan.com                     |           11
 Mikkeller                               | mikkeller.dk                     |            2
 Mr Miyagi's                             | mr-miyagis.com                   |            2
 Kibou                                   | kibou.co.uk                      |            2
 Copenhagen Coffee Lab                   | copenhagencoffeelab.com          |            3
 Sticks'n'Sushi Canary Wharf             | sticksnsushi.com                 |            2
 Rabieng                                 | rabiengthai.com                  |            2
 Heartbreak Hotel Coffee                 | heartbreakhotelcoffee.com        |            2
 Starbucks                               | starbucks.com                    |            2
